,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count,tconst,primary_title,start_year,runtime_minutes,G1,G2,G3,id_budg,release_date_budg,production_budget,domestic_gross,worldwide_gross,release_month
Addicted,11274,"[18, 53]",235271,en,8.295,2014-10-10,5.3,103,tt2205401,Addicted,2014.0,106.0,Drama,Thriller,,96,"Oct 10, 2014",5000000,17390770,17499242,10
Addicted,11274,"[18, 53]",235271,en,8.295,2014-10-10,5.3,103,tt3435418,Addicted,2014.0,97.0,Documentary,Music,,96,"Oct 10, 2014",5000000,17390770,17499242,10
Addicted,11274,"[18, 53]",235271,en,8.295,2014-10-10,5.3,103,tt5396774,Addicted,2013.0,55.0,Comedy,,,96,"Oct 10, 2014",5000000,17390770,17499242,10
Addicted,11274,"[18, 53]",235271,en,8.295,2014-10-10,5.3,103,tt6949630,Addicted,2017.0,54.0,Drama,,,96,"Oct 10, 2014",5000000,17390770,17499242,10
Admiral,18012,"[12, 18, 36]",277154,nl,5.466,2016-03-11,6.4,86,tt2544766,Admiral,2015.0,151.0,Action,Adventure,Biography,7,"Dec 31, 2008",20000000,0,38585047,3
Admission,8111,"[35, 18, 10749]",144340,en,8.065,2013-03-22,5.5,385,tt1814621,Admission,2013.0,107.0,Comedy,Drama,Romance,76,"Mar 22, 2013",13000000,18007317,18733666,3
Adrift,10308,[99],245927,en,0.6,2013-07-01,7.0,1,tt2168766,Adrift,2015.0,86.18724706088021,Drama,,,89,"Jun 1, 2018",35000000,31445011,57897191,7
Adrift,10308,[99],245927,en,0.6,2013-07-01,7.0,1,tt4608626,Adrift,2015.0,85.0,Romance,,,89,"Jun 1, 2018",35000000,31445011,57897191,7
Adrift,10308,[99],245927,en,0.6,2013-07-01,7.0,1,tt6306064,Adrift,2018.0,96.0,Action,Adventure,Biography,89,"Jun 1, 2018",35000000,31445011,57897191,7
After,5410,"[9648, 53]",118612,en,7.712000000000001,2012-09-14,5.7,86,tt1147681,After,2014.0,99.0,Drama,Mystery,,2,"Dec 31, 2012",650000,0,0,9
After,5410,"[9648, 53]",118612,en,7.712000000000001,2012-09-14,5.7,86,tt1799508,After,2012.0,90.0,Drama,Fantasy,Mystery,2,"Dec 31, 2012",650000,0,0,9
After,5410,"[9648, 53]",118612,en,7.712000000000001,2012-09-14,5.7,86,tt2404163,After,2012.0,83.0,Romance,,,2,"Dec 31, 2012",650000,0,0,9
After,5410,"[9648, 53]",118612,en,7.712000000000001,2012-09-14,5.7,86,tt4126476,After,2019.0,105.0,Drama,Romance,,2,"Dec 31, 2012",650000,0,0,9
After,5410,"[9648, 53]",118612,en,7.712000000000001,2012-09-14,5.7,86,tt4179504,After,2014.0,86.18724706088021,Drama,,,2,"Dec 31, 2012",650000,0,0,9
After,5410,"[9648, 53]",118612,en,7.712000000000001,2012-09-14,5.7,86,tt7094436,After,2017.0,75.0,Drama,,,2,"Dec 31, 2012",650000,0,0,9
After,5410,"[9648, 53]",118612,en,7.712000000000001,2012-09-14,5.7,86,tt8692378,After,2018.0,86.18724706088021,Adventure,,,2,"Dec 31, 2012",650000,0,0,9
After Earth,7937,"[878, 28, 12]",82700,en,14.415,2013-05-31,5.1,4154,tt1815862,After Earth,2013.0,100.0,Action,Adventure,Drama,53,"May 31, 2013",130000000,60522097,251499665,5
Ain't Them Bodies Saints,8105,"[80, 18, 10749, 37]",152748,en,8.166,2013-08-16,6.2,217,tt2388637,Ain't Them Bodies Saints,2013.0,96.0,Crime,Drama,Romance,64,"Aug 16, 2013",5000000,391611,1075009,8
Airborne,8662,"[27, 53]",85207,en,2.877,2013-02-26,3.9,31,tt1827354,Airborne,2012.0,81.0,Comedy,Crime,Horror,85,"Sep 14, 2012",1200000,0,0,2
Albert Nobbs,2886,[18],73873,en,6.277,2011-12-21,6.3,227,tt1602098,Albert Nobbs,2011.0,113.0,Drama,Romance,,67,"Dec 21, 2011",7500000,3014696,8539003,12
Alex Cross,5305,"[28, 53, 80, 9648]",94348,en,9.962,2012-10-18,5.1,424,tt1712170,Alex Cross,2012.0,101.0,Action,Crime,Mystery,100,"Oct 19, 2012",35000000,25888412,35426759,10
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",11437,"[10751, 35]",218778,en,6.7829999999999995,2014-10-10,6.2,817,tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0,81.0,Comedy,Family,,44,"Oct 10, 2014",28000000,66954149,101379287,10
Alice Through the Looking Glass,17435,"[12, 10751, 14]",241259,en,16.642,2016-05-27,6.5,3803,tt2567026,Alice Through the Looking Glass,2016.0,113.0,Adventure,Family,Fantasy,26,"May 27, 2016",170000000,77042381,276928112,5
Alice in Wonderland,11,"[10751, 14, 12]",12155,en,22.02,2010-03-05,6.6,8713,tt1014759,Alice in Wonderland,2010.0,108.0,Adventure,Family,Fantasy,51,"Mar 5, 2010",200000000,334191110,1025491110,3
Alice in Wonderland,11,"[10751, 14, 12]",12155,en,22.02,2010-03-05,6.6,8713,tt1014759,Alice in Wonderland,2010.0,108.0,Adventure,Family,Fantasy,60,"Jul 28, 1951",3000000,0,0,3
Alice in Wonderland,11,"[10751, 14, 12]",12155,en,22.02,2010-03-05,6.6,8713,tt1926979,Alice in Wonderland,2011.0,48.0,Documentary,,,51,"Mar 5, 2010",200000000,334191110,1025491110,3
Alice in Wonderland,11,"[10751, 14, 12]",12155,en,22.02,2010-03-05,6.6,8713,tt1926979,Alice in Wonderland,2011.0,48.0,Documentary,,,60,"Jul 28, 1951",3000000,0,0,3
Alice in Wonderland,11,"[10751, 14, 12]",12155,en,22.02,2010-03-05,6.6,8713,tt2049386,Alice in Wonderland,2010.0,99.0,Fantasy,Musical,,51,"Mar 5, 2010",200000000,334191110,1025491110,3
Alice in Wonderland,11,"[10751, 14, 12]",12155,en,22.02,2010-03-05,6.6,8713,tt2049386,Alice in Wonderland,2010.0,99.0,Fantasy,Musical,,60,"Jul 28, 1951",3000000,0,0,3
Alien: Covenant,20638,"[27, 878, 53]",126889,en,24.651,2017-05-19,5.9,4971,tt2316204,Alien: Covenant,2017.0,122.0,Horror,Sci-Fi,Thriller,12,"May 19, 2017",97000000,74262031,238521247,5
All Eyez on Me,21106,"[18, 10402]",402529,en,7.249,2017-06-16,6.4,695,tt1666185,All Eyez on Me,2017.0,139.0,Biography,Drama,Music,91,"Jun 16, 2017",45000000,44922302,54876855,6
All Good Things,247,"[18, 9648, 53, 80, 10749]",46503,en,7.871,2010-12-03,6.0,493,tt1175709,All Good Things,2010.0,101.0,Crime,Drama,Mystery,96,"Dec 3, 2010",20000000,582024,873617,12
All Saints,21423,"[18, 35]",450806,en,4.042,2017-08-25,6.1,25,tt4663548,All Saints,2017.0,108.0,Drama,,,12,"Aug 25, 2017",2000000,5802208,5941994,8
All Superheroes Must Die,8893,"[878, 53]",86304,en,2.0780000000000003,2013-01-04,3.9,19,tt1836212,All Superheroes Must Die,2011.0,78.0,Sci-Fi,Thriller,,56,"Jan 4, 2013",20000,0,0,1
Alleluia! The Devil's Carnival,18245,"[10402, 27]",285743,en,3.0580000000000003,2016-03-29,7.0,9,tt3892618,Alleluia! The Devil's Carnival,2016.0,97.0,Horror,Musical,,87,"Aug 11, 2015",500000,0,0,3
Allied,17409,"[28, 18, 10752, 10749, 53]",369885,en,19.611,2016-11-23,6.7,2765,tt3640424,Allied,2016.0,124.0,Action,Drama,Romance,47,"Nov 23, 2016",106000000,40098064,119266661,11
Almost Christmas,17878,"[35, 18]",340402,en,6.532,2016-11-11,5.6,245,tt4649416,Almost Christmas,2016.0,111.0,Comedy,Drama,,81,"Nov 11, 2016",17000000,42065185,42493506,11
Aloft,14791,[18],251321,en,4.944,2015-05-22,5.5,61,tt2494384,Aloft,2014.0,112.0,Drama,,,33,"May 22, 2015",8000000,53086,237688,5
Aloha,14331,"[18, 35, 10749]",222936,en,9.685,2015-05-29,5.3,1226,tt1243974,Aloha,2015.0,105.0,Comedy,Drama,Romance,3,"May 29, 2015",37000000,21052030,25387091,5
Alpha,16066,[],333465,el,0.84,2015-01-25,7.0,1,tt5797796,A,2017.0,83.0,Drama,Music,,79,"Aug 17, 2018",51000000,35851379,99624873,1
Alpha,23867,"[12, 18]",399360,en,24.535999999999998,2018-08-17,5.9,1167,tt2121250,Alpha,2013.0,116.0,Crime,,,79,"Aug 17, 2018",51000000,35851379,99624873,8
Alpha,23867,"[12, 18]",399360,en,24.535999999999998,2018-08-17,5.9,1167,tt3166734,Alpha,2015.0,80.0,Drama,Horror,Mystery,79,"Aug 17, 2018",51000000,35851379,99624873,8
Alpha,23867,"[12, 18]",399360,en,24.535999999999998,2018-08-17,5.9,1167,tt4244998,Alpha,2018.0,96.0,Adventure,Drama,Family,79,"Aug 17, 2018",51000000,35851379,99624873,8
